time,avg_queue,total_queue,icp,sas,ev_count,ev_speed,gwsr,cvdi
3057.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,125.045
3058.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,125.94
3059.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,126.835
3060.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,127.73
3061.0,10.0,120.0,0.05,1.0,0,0.0,1.0,127.58
3062.0,10.0,120.0,0.05,1.0,0,0.0,1.0,127.42
3063.0,10.0,120.0,0.05,1.0,0,0.0,1.0,127.66
3064.0,10.0,120.0,0.05,1.0,0,0.0,1.0,128.525
3065.0,10.0,120.0,0.05,1.0,0,0.0,1.0,129.39
3066.0,10.0,120.0,0.05,1.0,0,0.0,1.0,130.255
3067.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,131.125
3068.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,132.0
3069.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,132.88
3070.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,133.76
3071.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,134.64
3072.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,135.52
3073.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,135.325
3074.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,135.155
3075.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,134.97
3076.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,135.835
3077.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,136.7
3078.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,139.7
3079.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,142.345
3080.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,145.405
3081.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,147.4
3082.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,149.44
3083.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,151.46
3084.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,152.37
3085.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,152.155
3086.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,151.9
3087.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,151.67
3088.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,152.565
3089.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,154.6
3090.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,156.68
3091.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,158.74
3092.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,159.65
3093.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,160.56
3094.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,161.47
3095.0,10.166666666666666,122.0,0.050833333333333335,1.0,0,0.0,1.0,162.38
3096.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,163.295
3097.0,10.333333333333334,124.0,0.051666666666666666,1.0,0,0.0,1.0,163.03
3098.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,162.73
3099.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,162.455
3100.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,163.365
3101.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,164.275
3102.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,165.185
3103.0,10.25,123.0,0.05125,1.0,0,0.0,1.0,167.305
3104.0,10.416666666666666,125.0,0.052083333333333336,1.0,0,0.0,1.0,169.475
3105.0,10.416666666666666,125.0,0.052083333333333336,1.0,0,0.0,1.0,171.63
3106.0,10.416666666666666,125.0,0.052083333333333336,1.0,0,0.0,1.0,172.57
3107.0,10.416666666666666,125.0,0.052083333333333336,1.0,0,0.0,1.0,173.51
3108.0,10.416666666666666,125.0,0.052083333333333336,1.0,0,0.0,1.0,174.45
3109.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,174.15
3110.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,173.815
3111.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,173.51
3112.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,174.45
3113.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,175.39
3114.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,176.33
3115.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,177.27
3116.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,178.21
3117.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,179.15
3118.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,180.09
3119.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,181.03
3120.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,181.97
3121.0,10.916666666666666,131.0,0.05458333333333333,1.0,0,0.0,1.0,181.62
3122.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,181.27
3123.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,181.33
3124.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,182.27
3125.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,183.21
3126.0,10.75,129.0,0.05375,1.0,0,0.0,1.0,184.15
3127.0,10.583333333333334,127.0,0.05291666666666667,1.0,0,0.0,1.0,184.995
